,nome,nacionalidade,idade,estrela,time,posicao,comportamento,forca
0,Jogador 0,0,32,False,0,0,4,50
1,Jogador 1,3,32,False,0,0,1,50
2,Jogador 2,1,18,False,0,0,0,50
3,Jogador 3,2,44,False,0,1,2,50
4,Jogador 4,2,31,False,0,1,2,50
5,Jogador 5,0,27,False,0,1,1,50
6,Jogador 6,3,45,False,0,1,1,50
7,Jogador 7,2,33,False,0,1,3,50
8,Jogador 8,3,29,False,0,1,4,50
9,Jogador 9,2,34,False,0,1,2,50
10,Jogador 10,3,36,False,0,2,0,50
11,Jogador 11,0,24,False,0,2,2,50
12,Jogador 12,1,18,False,0,2,1,50
13,Jogador 13,3,45,False,0,2,4,50
14,Jogador 14,2,45,False,0,2,2,50
15,Jogador 15,0,45,False,0,2,2,50
16,Jogador 16,2,41,False,0,2,1,50
17,Jogador 17,2,39,False,0,3,0,50
18,Jogador 18,1,36,False,0,3,3,50
19,Jogador 19,3,40,False,0,3,2,50
20,Jogador 20,2,43,False,0,3,0,50
21,Jogador 21,1,33,True,0,3,0,50
22,Jogador 22,2,35,False,0,3,4,50
23,Jogador 23,0,45,False,0,3,0,50
24,Jogador 24,2,31,False,1,0,1,1
25,Jogador 25,3,23,False,1,0,0,1
26,Jogador 26,1,23,False,1,0,1,1
27,Jogador 27,3,25,False,1,1,3,1
28,Jogador 28,3,21,False,1,1,0,1
29,Jogador 29,2,36,False,1,1,4,1
30,Jogador 30,0,30,False,1,1,4,1
31,Jogador 31,1,35,False,1,1,1,1
32,Jogador 32,3,22,False,1,1,2,1
33,Jogador 33,0,19,False,1,1,2,1
34,Jogador 34,3,33,False,1,2,1,1
35,Jogador 35,0,23,False,1,2,4,1
36,Jogador 36,3,32,False,1,2,2,1
37,Jogador 37,1,30,False,1,2,1,1
38,Jogador 38,0,33,True,1,2,1,1
39,Jogador 39,0,22,False,1,2,4,1
40,Jogador 40,3,20,False,1,2,4,1
41,Jogador 41,1,18,True,1,3,2,1
42,Jogador 42,1,23,False,1,3,1,1
43,Jogador 43,2,31,True,1,3,1,1
44,Jogador 44,0,28,False,1,3,2,1
45,Jogador 45,3,19,False,1,3,4,1
46,Jogador 46,3,35,False,1,3,2,1
47,Jogador 47,2,27,False,1,3,0,44
48,Jogador 48,0,35,False,2,0,3,49
49,Jogador 49,1,34,False,2,0,4,8
50,Jogador 50,1,19,False,2,0,3,47
51,Jogador 51,2,35,False,2,1,2,27
52,Jogador 52,2,19,False,2,1,2,37
53,Jogador 53,0,36,False,2,1,3,36
54,Jogador 54,2,40,True,2,1,0,5
55,Jogador 55,2,20,False,2,1,1,38
56,Jogador 56,1,30,False,2,1,3,14
57,Jogador 57,3,34,False,2,1,2,1
58,Jogador 58,0,37,False,2,2,0,46
59,Jogador 59,0,26,False,2,2,0,16
60,Jogador 60,3,20,False,2,2,3,17
61,Jogador 61,0,31,False,2,2,2,48
62,Jogador 62,0,39,False,2,2,0,40
63,Jogador 63,1,41,False,2,2,0,40
64,Jogador 64,2,21,False,2,2,3,47
65,Jogador 65,2,42,False,2,3,3,15
66,Jogador 66,1,38,False,2,3,3,12
67,Jogador 67,2,21,False,2,3,2,33
